351400,0.018,-0.016,-0.00,0.00,-2.01,0
351500,0.018,-0.027,-0.00,0.00,-10.87,0
351600,0.023,-0.027,-0.00,0.00,-20.31,-7
351700,0.029,-0.021,-0.00,0.00,-29.64,-15
351800,0.029,-0.027,-0.00,0.00,-39.32,-25
351900,0.035,0.021,0.01,-0.01,-44.35,-34
352000,0.035,0.032,0.03,-0.03,-44.79,-38
352100,0.029,0.032,0.05,-0.05,-44.33,-35
352200,0.035,0.032,0.07,-0.07,-44.49,-35
352300,0.035,0.032,0.10,-0.10,-44.70,-35
352400,0.029,0.032,0.12,-0.12,-44.52,-35
352500,0.029,0.032,0.14,-0.14,-44.32,-35
352600,0.029,0.032,0.16,-0.16,-44.20,-35
352700,0.029,0.027,0.18,-0.18,-44.66,-34
352800,0.029,0.032,0.20,-0.20,-44.69,-32
352900,0.035,0.032,0.22,-0.22,-45.04,-34
353000,0.029,0.027,0.24,-0.24,-45.55,-35
353100,0.029,0.021,0.26,-0.26,-45.51,-35
353200,0.035,0.027,0.28,-0.28,-45.94,-36
353300,0.023,0.021,0.30,-0.30,-46.53,-34
353400,0.029,0.027,0.32,-0.32,-47.41,-37
353500,0.035,0.027,0.34,-0.34,-47.72,-36
353600,0.023,0.032,0.36,-0.36,-47.28,-35
353700,0.029,0.027,0.38,-0.38,-47.03,-37
353800,0.029,0.027,0.39,-0.40,-47.12,-37
353900,0.029,0.027,0.41,-0.42,-47.08,-35
354000,0.023,0.027,0.43,-0.44,-46.44,-38
354100,0.023,0.021,0.44,-0.45,-46.16,-38
354200,0.023,0.027,0.46,-0.47,-45.32,-31
354300,0.018,0.021,0.47,-0.48,-44.74,-33
354400,0.018,0.016,0.49,-0.50,-44.71,-36
354500,0.023,0.021,0.50,-0.51,-45.00,-37
354600,0.018,0.021,0.51,-0.52,-45.06,-38
354700,0.023,0.021,0.53,-0.54,-44.95,-30
354800,0.023,0.021,0.54,-0.55,-45.48,-36
354900,0.018,0.021,0.56,-0.57,-45.53,-37
355000,0.023,0.021,0.57,-0.58,-45.20,-37
355100,0.018,0.021,0.58,-0.59,-44.40,-37
355200,0.012,0.016,0.59,-0.61,-43.71,-32
355300,0.018,0.016,0.61,-0.62,-43.69,-34
355400,0.018,0.021,0.62,-0.63,-43.59,-36
355500,0.012,0.016,0.63,-0.64,-43.67,-36
355600,0.018,0.016,0.64,-0.65,-43.96,-33
355700,0.012,0.016,0.65,-0.66,-44.07,-32
355800,0.012,0.016,0.66,-0.67,-44.66,-30
355900,0.012,0.011,0.67,-0.68,-44.83,-37
356000,0.018,0.016,0.68,-0.69,-45.01,-38
356100,0.012,0.011,0.70,-0.70,-44.97,-38
356200,0.023,0.016,0.71,-0.72,-45.47,-39
356300,0.012,0.016,0.72,-0.73,-45.42,-32
356400,0.012,0.016,0.73,-0.74,-45.63,-39
356500,0.012,0.016,0.74,-0.75,-46.22,-39
356600,0.012,0.011,0.75,-0.76,-46.77,-38
356700,0.006,0.011,0.76,-0.77,-47.19,-40
356800,0.012,0.011,0.76,-0.77,-47.88,-40
356900,0.012,0.011,0.77,-0.78,-47.94,-40
357000,0.006,0.011,0.78,-0.79,-47.94,-40
357100,0.012,0.016,0.79,-0.80,-47.87,-34
357200,0.012,0.011,0.80,-0.81,-47.55,-40
357300,0.018,0.016,0.80,-0.82,-47.53,-41
357400,0.006,0.011,0.81,-0.83,-47.08,-40
357500,0.006,0.011,0.82,-0.83,-46.83,-40
357600,0.006,0.005,0.82,-0.84,-46.58,-39
357700,0.000,0.011,0.83,-0.85,-45.98,-41
357800,0.006,0.011,0.83,-0.85,-45.20,-38
357900,0.006,0.011,0.84,-0.86,-44.33,-38
358000,0.006,0.011,0.85,-0.86,-44.04,-38
358100,0.006,0.011,0.85,-0.87,-44.68,-37
358200,0.006,0.005,0.86,-0.87,-45.12,-39
358300,0.006,0.005,0.86,-0.88,-45.04,-38
358400,0.006,0.011,0.87,-0.88,-44.94,-38
358500,0.012,0.005,0.87,-0.89,-45.40,-38
358600,0.006,0.005,0.88,-0.89,-44.98,-38
358700,0.000,0.005,0.88,-0.90,-44.79,-38
358800,0.006,0.000,0.88,-0.90,-44.66,-38
358900,0.006,0.000,0.89,-0.90,-44.34,-31
359000,0.006,0.005,0.89,-0.91,-44.19,-38
359100,0.012,0.005,0.89,-0.91,-43.77,-27
359200,0.006,0.005,0.90,-0.91,-43.89,-34
359300,0.006,0.005,0.90,-0.92,-43.79,-37
359400,0.006,0.005,0.91,-0.92,-44.05,-38
359500,0.006,0.005,0.91,-0.93,-43.90,-29
359600,0.006,0.005,0.92,-0.93,-44.24,-35
359700,0.006,0.000,0.92,-0.94,-44.16,-38
359800,0.000,0.005,0.92,-0.94,-44.12,-35
359900,0.000,0.005,0.93,-0.94,-43.59,-37
360000,0.006,0.005,0.93,-0.95,-43.05,-37
360100,0.006,0.005,0.94,-0.95,-42.39,-37
360200,0.000,0.011,0.94,-0.95,-41.58,-36
360300,0.006,0.005,0.94,-0.96,-41.19,-34
360400,0.006,0.005,0.95,-0.96,-40.75,-35
360500,0.000,0.005,0.95,-0.96,-40.25,-35
360700,0.006,0.005,0.96,-0.97,-39.59,-30
360800,0.000,0.005,0.96,-0.97,-39.22,-35
360900,0.000,0.005,0.96,-0.97,-38.85,-33
361000,0.006,0.005,0.96,-0.97,-38.40,-32
361100,0.000,0.005,0.97,-0.98,-37.98,-33
361200,0.000,0.005,0.97,-0.98,-37.21,-33
361300,0.006,0.005,0.97,-0.98,-36.89,-32
361400,0.000,0.005,0.97,-0.98,-36.15,-32
361500,0.006,0.005,0.98,-0.98,-35.51,-31
361600,0.000,0.005,0.98,-0.98,-35.02,-30
361700,0.006,0.000,0.98,-0.99,-34.71,-29
361800,0.006,0.000,0.98,-0.99,-34.73,-29
361900,0.000,0.000,0.99,-0.99,-34.61,-30
362000,0.000,0.000,0.99,-0.99,-34.78,-30
362100,0.000,0.000,0.99,-0.99,-34.78,-30
362200,0.000,0.000,0.99,-0.99,-35.23,-31
362300,0.000,0.005,0.99,-0.99,-35.35,-31
362400,0.000,0.000,0.99,-0.99,-35.10,-31
362500,0.000,0.005,0.99,-0.99,-34.84,-29
362600,0.000,0.000,0.99,-0.99,-34.59,-30
362700,0.000,0.000,0.99,-0.99,-34.54,-30
362800,0.000,0.000,0.99,-0.99,-34.71,-30
362900,0.000,0.000,0.99,-0.99,-34.82,-31
363000,0.000,0.000,0.99,-0.99,-34.93,-31
363100,0.000,0.000,0.99,-0.99,-35.05,-31
363200,0.000,0.000,0.99,-0.99,-35.05,-31
363300,0.000,0.000,0.99,-0.99,-35.00,-30
363400,0.000,0.000,0.99,-0.99,-34.89,-31
363500,0.000,0.000,0.99,-0.99,-34.74,-31
363600,0.000,0.000,0.99,-0.99,-34.74,-30
363700,0.000,0.000,0.99,-0.99,-34.74,-30
363800,0.000,0.000,0.99,-0.99,-34.74,-31
363900,0.000,0.000,0.99,-0.99,-34.74,-31
364000,0.000,0.000,0.99,-0.99,-34.74,-31
364100,0.000,0.000,0.99,-0.99,-34.74,-31
364200,0.000,0.000,0.99,-0.99,-34.74,-30
364300,0.000,0.000,0.99,-0.99,-34.74,-31
364400,0.000,0.000,0.99,-0.99,-34.74,-31
364500,0.000,0.000,0.99,-0.99,-34.74,-31
364600,0.000,0.000,0.99,-0.99,-34.74,-31
364700,0.000,0.000,0.99,-0.99,-34.74,-30
364800,0.000,0.000,0.99,-0.99,-34.74,-31
364900,0.000,0.000,0.99,-0.99,-34.74,-31
365000,0.000,0.000,0.99,-0.99,-34.74,-30
365100,0.000,0.000,0.99,-0.99,-34.74,-31
365200,0.000,0.000,0.99,-0.99,-34.74,-31
365300,0.000,0.000,0.99,-0.99,-34.74,-31
365400,0.000,0.000,0.99,-0.99,-34.74,-31
365500,0.000,0.000,0.99,-0.99,-34.74,-31
365600,0.000,0.000,0.99,-0.99,-34.74,-30
365700,0.000,0.000,0.99,-0.99,-34.74,-31
365800,0.000,0.000,0.99,-0.99,-34.74,-30
365900,0.000,0.000,0.99,-0.99,-34.74,-30
366000,0.000,0.000,0.99,-0.99,-34.74,-30
366100,0.000,0.000,0.99,-0.99,-34.74,-31
366200,0.000,0.000,0.99,-0.99,-34.74,-30
366300,0.000,0.000,0.99,-0.99,-34.74,-31
366400,0.000,0.000,0.99,-0.99,-34.74,-31
366500,0.000,0.000,0.99,-0.99,-34.74,-31
366600,0.000,0.000,0.99,-0.99,-34.74,-30
366700,0.000,0.000,0.99,-0.99,-34.74,-31
366800,0.000,0.000,0.99,-0.99,-34.74,-31
366900,0.000,0.000,0.99,-0.99,-34.74,-31
367000,0.000,0.000,0.99,-0.99,-34.74,-31
367100,0.000,0.000,0.99,-0.99,-34.74,-31
367200,0.000,0.000,0.99,-0.99,-34.74,-30
367300,0.000,0.000,0.99,-0.99,-34.74,-30
367400,0.000,0.000,0.99,-0.99,-34.74,-31
367500,0.000,0.000,0.99,-0.99,-34.74,-30
367600,0.000,0.000,0.99,-0.99,-34.74,-30
367700,0.000,0.000,0.99,-0.99,-34.74,-31
367800,0.000,0.000,0.99,-0.99,-34.74,-31
367900,0.000,0.000,0.99,-0.99,-34.74,-31
368000,0.000,0.000,0.99,-0.99,-34.74,-31
368100,0.000,0.000,0.99,-0.99,-34.74,-31
368200,0.000,0.000,0.99,-0.99,-34.74,-30
368300,0.000,0.000,0.99,-0.99,-34.74,-31
368400,0.000,0.000,0.99,-0.99,-34.74,-31
368500,0.000,0.000,0.99,-0.99,-34.74,-30
368600,0.000,0.000,0.99,-0.99,-34.74,-30
368700,0.000,0.000,0.99,-0.99,-34.74,-31
368800,0.000,0.000,0.99,-0.99,-34.74,-31
368900,0.000,0.000,0.99,-0.99,-34.74,-31
369000,0.000,0.000,0.99,-0.99,-34.74,-30
369100,0.000,0.000,0.99,-0.99,-34.74,-31
369200,0.000,0.000,0.99,-0.99,-34.74,-31
369300,0.000,0.000,0.99,-0.99,-34.74,-31
369400,0.000,0.000,0.99,-0.99,-34.74,-31
369500,0.000,0.000,0.99,-0.99,-34.74,-31
369600,0.000,0.000,0.99,-0.99,-34.74,-30
369700,0.000,0.000,0.99,-0.99,-34.74,-31
369800,0.000,0.000,0.99,-0.99,-34.74,-30
369900,0.000,0.000,0.99,-0.99,-34.74,-30
370000,0.000,0.000,0.99,-0.99,-34.74,-30
370100,0.000,0.000,0.99,-0.99,-34.74,-31
370200,0.000,0.000,0.99,-0.99,-34.74,-31
370300,0.000,0.000,0.99,-0.99,-34.74,-31
370400,0.000,0.000,0.99,-0.99,-34.74,-30
370500,0.000,0.000,0.99,-0.99,-34.74,-31
370600,0.000,0.000,0.99,-0.99,-34.74,-31
370700,0.000,0.000,0.99,-0.99,-34.74,-31
370800,0.000,0.000,0.99,-0.99,-34.74,-30
370900,0.000,0.000,0.99,-0.99,-34.74,-31
371000,0.000,0.000,0.99,-0.99,-34.74,-31
371100,0.000,0.000,0.99,-0.99,-34.74,-30
371200,0.000,0.000,0.99,-0.99,-34.74,-30
371300,0.000,0.000,0.99,-0.99,-34.74,-31
